Metric,Pearson,Spearman,Score
turnout_rate,0.9999999999999999,1.0,0.9999999999999999
linkedin_users_total,0.8383767042583279,0.3714285714285715,0.8383767042583279
facebook_users_total,0.8021164448451858,0.6,0.8021164448451858
voters_income_high,0.7961381974492389,-0.14285714285714288,0.7961381974492389
voters_age_18_29,0.7251297902972594,-0.14285714285714288,0.7251297902972594
pinterest_users_total,0.7084521636808165,0.3714285714285715,0.7084521636808165
voters_age_30_44,0.6011697469110481,-0.14285714285714288,0.6011697469110481
voters_income_mid,0.4196690508837871,-0.14285714285714288,0.4196690508837871
instagram_users_age_18_29,0.3869709956479207,0.08571428571428573,0.3869709956479207
voters_income_low,0.36191316694796705,-0.550782483869826,0.36191316694796705
instagram_users_total,0.3399862303549726,0.2,0.3399862303549726
youtube_users_total,0.3378925452759154,0.48571428571428577,0.3378925452759154
voters_age_65_plus,-0.30495235327715353,0.028571428571428574,0.30495235327715353
voters_total,-0.2686462640476488,-0.6571428571428573,0.2686462640476488
snapchat_users_age_13_17,-0.2514239995349855,-0.5428571428571429,0.2514239995349855
voters_white,-0.23837221314779417,-0.11595420713048968,0.23837221314779417
facebook_users_age_18_29,-0.23710759495789718,-0.4285714285714286,0.23710759495789718
voters_hispanic,-0.23678927242964842,-0.08571428571428573,0.23678927242964842
voters_black,-0.236053898366173,-0.08571428571428573,0.236053898366173
voters_asian,-0.23587304789725383,-0.08571428571428573,0.23587304789725383
voters_age_45_64,-0.23562071770855167,-0.6571428571428573,0.23562071770855167
linkedin_users_age_25_34,-0.23030146446480323,-0.550782483869826,0.23030146446480323
pinterest_users_age_18_29,0.2111890839167267,0.08571428571428573,0.2111890839167267
tiktok_users_total,0.11926757569244054,0.49999999999999994,0.11926757569244054
youtube_users_age_18_29,0.10850236132931984,0.6667366910003157,0.10850236132931984
tiktok_users_age_18_29,0.09104374554047844,0.09999999999999999,0.09104374554047844
snapchat_users_total,0.09047655267201193,-0.2,0.09047655267201193
