Metric,Year,RawValue,Trend,PearsonCorr,SpearmanCorr,Score,Category
facebook_users_age_18_29,2014,0.3,0.0,-0.23710759495789718,-0.4285714285714286,0.23710759495789718,SocialMedia
facebook_users_age_18_29,2016,0.29,-0.03333333333333337,-0.23710759495789718,-0.4285714285714286,0.23710759495789718,SocialMedia
facebook_users_age_18_29,2018,0.28,-0.034482758620689495,-0.23710759495789718,-0.4285714285714286,0.23710759495789718,SocialMedia
facebook_users_age_18_29,2020,0.27,-0.03571428571428574,-0.23710759495789718,-0.4285714285714286,0.23710759495789718,SocialMedia
facebook_users_age_18_29,2022,0.26,-0.03703703703703707,-0.23710759495789718,-0.4285714285714286,0.23710759495789718,SocialMedia
facebook_users_age_18_29,2024,0.78,2.0,-0.23710759495789718,-0.4285714285714286,0.23710759495789718,SocialMedia
facebook_users_total,2014,1320000000.0,0.0,0.8021164448451858,0.6,0.8021164448451858,SocialMedia
facebook_users_total,2016,1860000000.0,0.4090909090909091,0.8021164448451858,0.6,0.8021164448451858,SocialMedia
facebook_users_total,2018,2270000000.0,0.22043010752688172,0.8021164448451858,0.6,0.8021164448451858,SocialMedia
facebook_users_total,2020,2740000000.0,0.20704845814977973,0.8021164448451858,0.6,0.8021164448451858,SocialMedia
facebook_users_total,2022,2910000000.0,0.06204379562043796,0.8021164448451858,0.6,0.8021164448451858,SocialMedia
facebook_users_total,2024,3000000000.0,0.030927835051546393,0.8021164448451858,0.6,0.8021164448451858,SocialMedia
instagram_users_age_18_29,2014,0.53,0.0,0.3869709956479207,0.08571428571428573,0.3869709956479207,SocialMedia
instagram_users_age_18_29,2016,0.58,0.0943396226415093,0.3869709956479207,0.08571428571428573,0.3869709956479207,SocialMedia
instagram_users_age_18_29,2018,0.62,0.06896551724137938,0.3869709956479207,0.08571428571428573,0.3869709956479207,SocialMedia
instagram_users_age_18_29,2020,0.67,0.08064516129032265,0.3869709956479207,0.08571428571428573,0.3869709956479207,SocialMedia
instagram_users_age_18_29,2022,0.72,0.07462686567164169,0.3869709956479207,0.08571428571428573,0.3869709956479207,SocialMedia
instagram_users_age_18_29,2024,0.78,0.08333333333333341,0.3869709956479207,0.08571428571428573,0.3869709956479207,SocialMedia
instagram_users_total,2014,300000000.0,0.0,0.3399862303549726,0.2,0.3399862303549726,SocialMedia
instagram_users_total,2016,500000000.0,0.6666666666666666,0.3399862303549726,0.2,0.3399862303549726,SocialMedia
instagram_users_total,2018,1000000000.0,1.0,0.3399862303549726,0.2,0.3399862303549726,SocialMedia
instagram_users_total,2020,1220000000.0,0.22,0.3399862303549726,0.2,0.3399862303549726,SocialMedia
instagram_users_total,2022,1440000000.0,0.18032786885245902,0.3399862303549726,0.2,0.3399862303549726,SocialMedia
instagram_users_total,2024,2000000000.0,0.3888888888888889,0.3399862303549726,0.2,0.3399862303549726,SocialMedia
linkedin_users_age_25_34,2014,0.3,0.0,-0.23030146446480323,-0.550782483869826,0.23030146446480323,SocialMedia
linkedin_users_age_25_34,2016,0.31,0.03333333333333337,-0.23030146446480323,-0.550782483869826,0.23030146446480323,SocialMedia
linkedin_users_age_25_34,2018,0.33,0.06451612903225812,-0.23030146446480323,-0.550782483869826,0.23030146446480323,SocialMedia
linkedin_users_age_25_34,2020,0.35,0.06060606060606049,-0.23030146446480323,-0.550782483869826,0.23030146446480323,SocialMedia
linkedin_users_age_25_34,2022,0.35,0.0,-0.23030146446480323,-0.550782483869826,0.23030146446480323,SocialMedia
linkedin_users_age_25_34,2024,0.506,0.44571428571428584,-0.23030146446480323,-0.550782483869826,0.23030146446480323,SocialMedia
linkedin_users_total,2014,300000000.0,0.0,0.8383767042583279,0.3714285714285715,0.8383767042583279,SocialMedia
linkedin_users_total,2016,467000000.0,0.5566666666666666,0.8383767042583279,0.3714285714285715,0.8383767042583279,SocialMedia
linkedin_users_total,2018,590000000.0,0.2633832976445396,0.8383767042583279,0.3714285714285715,0.8383767042583279,SocialMedia
linkedin_users_total,2020,740000000.0,0.2542372881355932,0.8383767042583279,0.3714285714285715,0.8383767042583279,SocialMedia
linkedin_users_total,2022,830000000.0,0.12162162162162163,0.8383767042583279,0.3714285714285715,0.8383767042583279,SocialMedia
linkedin_users_total,2024,1000000000.0,0.20481927710843373,0.8383767042583279,0.3714285714285715,0.8383767042583279,SocialMedia
pinterest_users_age_18_29,2014,0.4,0.0,0.2111890839167267,0.08571428571428573,0.2111890839167267,SocialMedia
pinterest_users_age_18_29,2016,0.42,0.049999999999999906,0.2111890839167267,0.08571428571428573,0.2111890839167267,SocialMedia
pinterest_users_age_18_29,2018,0.41,-0.023809523809523832,0.2111890839167267,0.08571428571428573,0.2111890839167267,SocialMedia
pinterest_users_age_18_29,2020,0.39,-0.04878048780487796,0.2111890839167267,0.08571428571428573,0.2111890839167267,SocialMedia
pinterest_users_age_18_29,2022,0.4,0.025641025641025664,0.2111890839167267,0.08571428571428573,0.2111890839167267,SocialMedia
pinterest_users_age_18_29,2024,0.45,0.12499999999999997,0.2111890839167267,0.08571428571428573,0.2111890839167267,SocialMedia
pinterest_users_total,2014,73000000.0,0.0,0.7084521636808165,0.3714285714285715,0.7084521636808165,SocialMedia
pinterest_users_total,2016,150000000.0,1.0547945205479452,0.7084521636808165,0.3714285714285715,0.7084521636808165,SocialMedia
pinterest_users_total,2018,250000000.0,0.6666666666666666,0.7084521636808165,0.3714285714285715,0.7084521636808165,SocialMedia
pinterest_users_total,2020,416000000.0,0.664,0.7084521636808165,0.3714285714285715,0.7084521636808165,SocialMedia
